學校名稱,系所(組)名稱,107學年度核定招生名額,班數,大學多元入學-考試分發入學,大學多元入學-繁星推薦入學,大學多元入學-個人申請入學-一般,大學多元入學-個人申請入學-青年儲蓄帳戶組,四技二專-甄選入學,四技二專-登記分發入學,四技二專-技優入學,四技二專-青年儲蓄帳戶組,運動績優-甄試,運動績優-單獨招生,單獨招生-全校單招,單獨招生-學系單招,單獨招生-特殊選才,單獨招生-其他,外加名額-大學多元入學-繁星推薦入學,外加名額-大學多元入學-個人申請入學,外加名額-大學多元入學-單獨招生,外加名額-四技二專技優入學
真理大學(臺北),航空事業學系,45,1,15,9,25,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
真理大學(臺北),財務金融學系,103,2,23,12,36,0,7,0,0,0,0,2,0,0,0,0,2,4,0,2
真理大學(臺北),財務與精算學系財務資訊組,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
真理大學(臺北),財務與精算學系精算與保險經營組,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
真理大學(臺北),國際貿易學系,102,2,16,12,36,1,13,0,0,0,0,2,0,0,0,0,2,4,0,2
真理大學(臺北),理財與稅務規劃學系,45,1,11,6,24,0,2,0,0,0,0,2,0,0,0,0,1,2,0,1
真理大學(臺北),統計資訊與精算學系,0,1,19,5,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
真理大學(臺北),會計資訊學系,86,2,25,11,38,0,5,0,0,0,0,1,0,0,0,0,2,4,0,1
真理大學(臺北),經濟學系,80,2,29,7,38,0,1,0,0,0,0,5,0,0,0,0,2,4,0,0
真理大學(臺北),資訊工程學系,92,2,23,10,45,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0
真理大學(臺北),資訊管理學系,98,2,25,7,39,0,6,0,0,0,0,3,0,0,0,0,2,4,0,0
真理大學(臺北),運動資訊傳播學系,92,2,15,8,39,0,0,0,0,0,3,15,0,0,0,0,2,4,0,0
真理大學(臺北),運動管理學系,100,2,19,6,43,0,0,0,0,0,4,18,0,0,0,0,2,4,0,0
真理大學(臺北),應用日語學系,98,2,17,12,37,0,18,0,0,0,0,1,0,0,0,0,2,4,0,0
真理大學(臺北),觀光事業學系,109,2,19,7,32,0,16,0,0,0,0,6,0,0,0,0,2,4,0,1
真理大學(臺北),觀光數位知識學系,83,2,23,13,40,0,2,0,0,0,0,2,0,0,0,0,2,4,0,0
大同大學,工業設計學系,90,2,36,13,40,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0
大同大學,媒體設計學系互動媒體設計組,45,1,17,7,21,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
大同大學,媒體設計學系數位遊戲設計組,45,1,16,8,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
大同大學,事業經營學系,110,2,36,16,52,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0
大同大學,資訊經營學系,55,1,17,8,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
大同大學,應用外語學系,50,1,18,8,24,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
大同大學,機械工程學系電子機械組,55,1,14,9,32,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
大同大學,機械工程學系精密機械組,45,1,8,8,29,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
